ADM3_FR;ADM3_PCODE;ADM3_REF;ADM3ALT1_FR;ADM3ALT2_FR;ADM2_FR;ADM2_PCODE;ADM1_FR;ADM1_PCODE;ADM0_FR;ADM0_PCODE;DATE;VALIDON;VALIDTO;AREA_SQKM
Vakpossito;TG030905;;;;Agoe-Nyive;TG0309;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;4,035943985
Veh;TG041007;;;;Akebou;TG0410;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;33,91341019
Vo-Koutime;TG030610;;;;Vo;TG0306;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;61,68650436
Vogan;TG030609;;;;Vo;TG0306;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;161,9337006
Wahala;TG040608;;;;Haho;TG0406;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;444,2084961
Waragni;TG010118;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;42,9654808
Warengo;TG020609;;;;Keran;TG0206;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;68,27790833
Wassarabo;TG010512;;;;Tchaoudjo;TG0105;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;46,54081726
Welly;TG010119;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;294,0641785
Wli;TG030816;;;;Zio;TG0308;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;49,7552948
Wome;TG041211;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;28,77060509
Yade;TG020715;;;;Kozah;TG0207;Kara;TG02;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;19,57570457
Yalla;TG041008;;;;Akebou;TG0410;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;95,23829651
Yaloumbe;TG010120;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;79,87228394
Yegue;TG010121;;;;Blitta;TG0101;Centrale;TG01;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;166,5175781
Yikpa;TG040405;;;;Danyi;TG0404;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;17,32859993
Yokele;TG041212;;;;Kloto;TG0412;Plateaux;TG04;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;38,33506012
Zafi;TG030712;;;;Yoto;TG0307;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;155,0568695
Zanguera;TG030906;;;;Agoe-Nyive;TG0309;Maritime;TG03;Togo;TG;16/12/2020 00:00;07/01/2021 00:00;;21,98280525
